Round,run-10_evaluation/adv_success,run-10_l2_total/mal,run-10_evaluation/test_accuracy,run-4_evaluation/adv_success,run-4_l2_total/mal,run-4_evaluation/test_accuracy,run-3_evaluation/adv_success,run-3_l2_total/mal,run-3_evaluation/test_accuracy,run-2_evaluation/adv_success,run-2_l2_total/mal,run-2_evaluation/test_accuracy,run-5_evaluation/adv_success,run-5_l2_total/mal,run-5_evaluation/test_accuracy,run-9_evaluation/adv_success,run-9_l2_total/mal,run-9_evaluation/test_accuracy,run-0_evaluation/adv_success,run-0_l2_total/mal,run-0_evaluation/test_accuracy,run-7_evaluation/adv_success,run-7_l2_total/mal,run-7_evaluation/test_accuracy,run-6_evaluation/adv_success,run-6_l2_total/mal,run-6_evaluation/test_accuracy,run-1_evaluation/adv_success,run-1_l2_total/mal,run-1_evaluation/test_accuracy,run-8_evaluation/adv_success,run-8_l2_total/mal,run-8_evaluation/test_accuracy
1,0.004975124262273312,0.800000011920929,0.5997023582458496,0.004975124262273312,0.8000000715255737,0.5992063283920288,0.004975124262273312,0.800000011920929,0.598710298538208,0.004975124262273312,0.800000011920929,0.6006944179534912,0.004975124262273312,0.8000000715255737,0.5982142686843872,0.004975124262273312,0.8000000715255737,0.598710298538208,0.004975124262273312,0.8000001311302185,0.5997023582458496,0.004975124262273312,0.800000011920929,0.5992063283920288,0.004975124262273312,0.8000000715255737,0.5992063283920288,0.004975124262273312,0.800000011920929,0.598710298538208,0.004975124262273312,0.800000011920929,0.6001983880996704
2,0.009950248524546623,0.800000011920929,0.6051587462425232,0.004975124262273312,0.800000011920929,0.6086309552192688,0.004975124262273312,0.7999999523162842,0.6051587462425232,0.009950248524546623,0.800000011920929,0.6076388955116272,0.004975124262273312,0.8000000715255737,0.6036706566810608,0.009950248524546623,0.800000011920929,0.605654776096344,0.009950248524546623,0.800000011920929,0.6046627163887024,0.004975124262273312,0.7999999523162842,0.6036706566810608,0.009950248524546623,0.800000011920929,0.6046627163887024,0.009950248524546623,0.8000000715255737,0.6046627163887024,0.009950248524546623,0.800000011920929,0.6066468358039856
3,0.004975124262273312,0.800000011920929,0.6051587462425232,0.004975124262273312,0.800000011920929,0.60317462682724,0.0,0.800000011920929,0.6026785969734192,0.004975124262273312,0.800000011920929,0.6016865372657776,0.004975124262273312,0.800000011920929,0.6026785969734192,0.004975124262273312,0.800000011920929,0.60317462682724,0.004975124262273312,0.800000011920929,0.6036706566810608,0.004975124262273312,0.800000011920929,0.6021825671195984,0.0,0.800000011920929,0.6046627163887024,0.0,0.8000000715255737,0.6036706566810608,0.004975124262273312,0.7999999523162842,0.60317462682724
4,0.014925372786819935,0.800000011920929,0.5952380895614624,0.009950248524546623,0.800000011920929,0.5957341194152832,0.009950248524546623,0.800000011920929,0.5942460298538208,0.009950248524546623,0.800000011920929,0.5942460298538208,0.014925372786819935,0.8000000715255737,0.596230149269104,0.004975124262273312,0.8000000715255737,0.5952380895614624,0.009950248524546623,0.800000011920929,0.5952380895614624,0.009950248524546623,0.7999999523162842,0.596230149269104,0.009950248524546623,0.800000011920929,0.5942460298538208,0.009950248524546623,0.800000011920929,0.596230149269104,0.009950248524546623,0.800000011920929,0.5942460298538208
5,0.014925372786819935,0.7999999523162842,0.5957341194152832,0.019900497049093246,0.7999999523162842,0.59375,0.019900497049093246,0.800000011920929,0.5927579402923584,0.019900497049093246,0.800000011920929,0.5892857313156128,0.014925372786819935,0.8000000715255737,0.5942460298538208,0.014925372786819935,0.800000011920929,0.596230149269104,0.019900497049093246,0.7999998331069946,0.5982142686843872,0.019900497049093246,0.7999999523162842,0.5932539701461792,0.019900497049093246,0.800000011920929,0.5952380895614624,0.019900497049093246,0.7999999523162842,0.5902777910232544,0.019900497049093246,0.800000011920929,0.5952380895614624
