Round,run-2_evaluation/adv_success,run-2_l2_total/mal,run-2_evaluation/test_accuracy,run-0_evaluation/adv_success,run-0_l2_total/mal,run-0_evaluation/test_accuracy,run-1_evaluation/adv_success,run-1_l2_total/mal,run-1_evaluation/test_accuracy
1,0.009950248524546623,0.800000011920929,0.139384925365448,0.009950248524546623,0.800000011920929,0.1374007910490036,0.009950248524546623,0.7999999523162842,0.1374007910490036
2,0.1890547275543213,0.8000000715255737,0.1324404776096344,0.20895522832870483,0.800000011920929,0.1349206417798996,0.20398010313510895,0.8000000715255737,0.133432537317276
3,0.1442786008119583,0.7999999523162842,0.153273805975914,0.16417910158634186,0.800000011920929,0.1527777761220932,0.1492537260055542,0.800000011920929,0.1537698358297348
4,0.17412935197353363,0.8000001311302185,0.1607142835855484,0.2189054787158966,0.7999999523162842,0.159226194024086,0.1840796023607254,0.800000011920929,0.162202388048172
5,0.12935324013233185,0.8000001311302185,0.1641865074634552,0.15920397639274597,0.7999999523162842,0.162202388048172,0.1492537260055542,0.800000011920929,0.164682537317276
6,0.08457711338996887,0.8000001311302185,0.1785714328289032,0.10447761416435242,0.7999999523162842,0.1805555522441864,0.08457711338996887,0.8000001311302185,0.179067462682724
7,0.03980099409818649,0.800000011920929,0.18204365670681,0.049751244485378265,0.800000011920929,0.1830357164144516,0.04477611929178238,0.7999999523162842,0.1805555522441864
8,0.11940298229455948,0.8000001311302185,0.1924603134393692,0.17910447716712952,0.800000011920929,0.19295634329319,0.13432836532592773,0.8000000715255737,0.1909722238779068
9,0.06467662006616592,0.7999999523162842,0.1999007910490036,0.07960198819637299,0.800000011920929,0.1979166716337204,0.05970149114727974,0.8000001311302185,0.2023809552192688
10,0.03482586890459061,0.8000001311302185,0.198908731341362,0.03980099409818649,0.7999999523162842,0.2023809552192688,0.03482586890459061,0.800000011920929,0.1999007910490036
11,0.03482586890459061,0.7999999523162842,0.2093254029750824,0.03980099409818649,0.800000011920929,0.2108134925365448,0.03482586890459061,0.8000001311302185,0.2098214328289032
12,0.03980099409818649,0.7999997735023499,0.2162698358297348,0.049751244485378265,0.7999999523162842,0.221726194024086,0.04477611929178238,0.7999998927116394,0.2207341343164444
13,0.03482586890459061,0.800000011920929,0.227182537317276,0.03482586890459061,0.800000011920929,0.2306547611951828,0.03482586890459061,0.8000001311302185,0.2306547611951828
14,0.08457711338996887,0.8000001311302185,0.2405754029750824,0.08955223858356476,0.7999999523162842,0.2380952388048172,0.07960198819637299,0.8000000715255737,0.2380952388048172
15,0.05472636967897415,0.7999998927116394,0.2633928656578064,0.05472636967897415,0.800000011920929,0.2653769850730896,0.05472636967897415,0.800000011920929,0.2648809552192688
16,0.024875622242689133,0.800000011920929,0.264384925365448,0.024875622242689133,0.7999999523162842,0.2658730149269104,0.014925372786819935,0.800000011920929,0.2638888955116272
17,0.02985074557363987,0.8000000715255737,0.2757936418056488,0.03482586890459061,0.800000011920929,0.2762896716594696,0.02985074557363987,0.8000000715255737,0.2767857015132904
18,0.09950248897075653,0.8000000715255737,0.2827380895614624,0.10447761416435242,0.800000011920929,0.283730149269104,0.07960198819637299,0.800000011920929,0.2847222089767456
19,0.0746268630027771,0.800000011920929,0.2832341194152832,0.08457711338996887,0.800000011920929,0.2852182686328888,0.0746268630027771,0.8000001311302185,0.2842261791229248
