Round,quantization_emnist_baseline_evaluation/test_accuracy,quantization_emnist_p_4_3_evaluation/test_accuracy,quantization_emnist_p_2_1_evaluation/test_accuracy,quantization_emnist_d_8_7_evaluation/test_accuracy,quantization_emnist_p_8_7_evaluation/test_accuracy
1,0.27421167492866516,0.19925089180469513,0.13258908689022064,0.2792547643184662,0.2686300575733185
2,0.42655709385871887,0.45020565390586853,0.18328921496868134,0.4238395392894745,0.530184805393219
3,0.6459070444107056,0.6034813523292542,0.46075671911239624,0.6469599008560181,0.6551114320755005
4,0.6608893871307373,0.6339592337608337,0.554347813129425,0.6603021025657654,0.6650019884109497
5,0.6561152935028076,0.6573395133018494,0.625464916229248,0.6622114777565002,0.6823837161064148
6,0.6715381741523743,0.6774871349334717,0.620716392993927,0.6690168976783752,0.6893854737281799
7,0.6863741278648376,0.677095353603363,0.6275215744972229,0.6809638738632202,0.6773407459259033
8,0.6922004818916321,0.694134533405304,0.6523705124855042,0.6860305666923523,0.703437864780426
9,0.6994220018386841,0.7010622620582581,0.6172149181365967,0.6930818557739258,0.6993491649627686
10,0.7185173630714417,0.7153099179267883,0.6716598868370056,0.7027035355567932,0.721332311630249
11,0.7277464270591736,0.733816921710968,0.6945996284484863,0.7124954462051392,0.7376129031181335
12,0.7337688207626343,0.7111001014709473,0.6799846291542053,0.7169263362884521,0.7211124897003174
13,0.7521044015884399,0.7477717399597168,0.7098022699356079,0.7296802997589111,0.7561928629875183
14,0.7500003576278687,0.7510029077529907,0.7184438705444336,0.7303910851478577,0.7610167860984802
15,0.7668911814689636,0.7577356100082397,0.7087984085083008,0.7407214641571045,0.7682628035545349
16,0.7674303650856018,0.7668916583061218,0.7112718224525452,0.7428273558616638,0.7724243402481079
17,0.7672591805458069,0.7733544707298279,0.7336710691452026,0.7460095286369324,0.7818246483802795
18,0.7858889102935791,0.7694625854492188,0.6907811164855957,0.7570999264717102,0.780894935131073
19,0.7863298058509827,0.7828041911125183,0.7350414991378784,0.7590824961662292,0.788092315196991
20,0.8018754124641418,0.7864274978637695,0.7522767782211304,0.7728402018547058,0.7953627705574036
21,0.8005287647247314,0.7961218357086182,0.7399620413780212,0.7730851173400879,0.8055712580680847
22,0.8071134090423584,0.7961705923080444,0.7310516834259033,0.7765618562698364,0.8077992796897888
23,0.8078732490539551,0.8016538023948669,0.7647379636764526,0.7785937190055847,0.8083614706993103
24,0.8163428902626038,0.811225414276123,0.7543330788612366,0.7856931686401367,0.8176894783973694
25,0.8253282308578491,0.8116176724433899,0.7764883041381836,0.7931589484214783,0.8218753933906555
26,0.8221693634986877,0.8150450587272644,0.7621669173240662,0.7917641997337341,0.8265758156776428
27,0.8234665393829346,0.8137969970703125,0.7609429359436035,0.7966353893280029,0.8259648084640503
28,0.8241288065910339,0.8300769329071045,0.7898316383361816,0.7984965443611145,0.8373968005180359
29,0.8355112075805664,0.8297838568687439,0.7963436245918274,0.8075781464576721,0.8362716436386108
30,0.8420728445053101,0.83409184217453,0.7915928959846497,0.8122296929359436,0.8404815793037415
31,0.8438352346420288,0.833528995513916,0.7823145389556885,0.8144813179969788,0.8451827764511108
32,0.8496861457824707,0.8370300531387329,0.7938944101333618,0.8200397491455078,0.8477036356925964
33,0.8498584628105164,0.8395519256591797,0.7634397745132446,0.821507453918457,0.8502246141433716
34,0.8545094132423401,0.8427092432975769,0.7795732617378235,0.8262823820114136,0.8501268625259399
35,0.8556353449821472,0.8451327681541443,0.7677979469299316,0.8255723714828491,0.8561004996299744
36,0.8598949909210205,0.8513268232345581,0.7833927273750305,0.8298565745353699,0.8637388348579407
37,0.8605072498321533,0.8508616089820862,0.7565847635269165,0.8320111632347107,0.8627108931541443
38,0.8660150170326233,0.8513272404670715,0.7691702246665955,0.8370298147201538,0.8638855218887329
39,0.871229350566864,0.8572272062301636,0.7985702157020569,0.8448875546455383,0.8664562702178955
40,0.8730906844139099,0.8621227145195007,0.7625340223312378,0.842660129070282,0.8702026009559631
41,0.8740695714950562,0.8588663339614868,0.7852526307106018,0.8469443917274475,0.8710350394248962
42,0.8751710653305054,0.8685866594314575,0.8070163130760193,0.8485114574432373,0.8780118227005005
43,0.8774235248565674,0.8662362098693848,0.7907849550247192,0.8520115613937378,0.8768863081932068
44,0.8733109831809998,0.8686347007751465,0.7944819331169128,0.850225031375885,0.8780107498168945
45,0.8763713836669922,0.8680718541145325,0.797345757484436,0.8509836196899414,0.8811207413673401
46,0.8826631307601929,0.8642529845237732,0.800895631313324,0.8567860126495361,0.8770565390586853
47,0.8845483064651489,0.8690271377563477,0.7918118834495544,0.858793318271637,0.8804354071617126
48,0.8844738602638245,0.8636404275894165,0.8075549602508545,0.8590376377105713,0.8790645599365234
49,0.8843527436256409,0.8771058320999146,0.7985712289810181,0.8619275689125061,0.885747492313385
50,0.8915988802909851,0.8808522820472717,0.7952166795730591,0.8675335049629211,0.892970085144043
51,0.8886119723320007,0.8825650811195374,0.7996721267700195,0.8652561902999878,0.8946347236633301
52,0.8917943239212036,0.8785738348960876,0.8127445578575134,0.8692467212677002,0.8882192969322205
53,0.8944138288497925,0.886702835559845,0.8089497685432434,0.8714003562927246,0.8977188467979431
54,0.8926995992660522,0.8810475468635559,0.7736737728118896,0.871082067489624,0.8937039971351624
55,0.8926517367362976,0.8834707140922546,0.808387041091919,0.870445728302002,0.8946832418441772
56,0.8995794653892517,0.8892003297805786,0.8089257478713989,0.8763211369514465,0.8984049558639526
57,0.8975234031677246,0.8863600492477417,0.8238101005554199,0.875807523727417,0.8988445997238159
58,0.9012439250946045,0.8956146836280823,0.8211420774459839,0.8773006796836853,0.9037899971008301
59,0.9018804430961609,0.8952224254608154,0.8177394270896912,0.8791122436523438,0.9045248627662659
60,0.898232638835907,0.8973767161369324,0.8241779208183289,0.8777411580085754,0.9041089415550232
61,0.9015134572982788,0.8963727951049805,0.8230993747711182,0.8783046007156372,0.9064829349517822
62,0.9030803442001343,0.8950753808021545,0.8057922720909119,0.8806800842285156,0.9054308533668518
63,0.9024433493614197,0.8984291553497314,0.7783485651016235,0.881878674030304,0.9091762900352478
