round,accuracy,adv_success
1,0.8961769938468933,0.049999999999999996
2,0.9042063355445862,0.058333333333333334
3,0.9073647856712341,0.06666666666666667
4,0.9131428003311157,0.06666666666666667
5,0.9168639779090881,0.06666666666666667
6,0.9225191473960876,0.08333333333333333
7,0.9228615164756775,0.08333333333333333
8,0.9260193705558777,0.09166666666666666
9,0.9289582967758179,0.08333333333333334
10,0.9328016042709351,0.08333333333333334
11,0.935836911201477,0.09166666666666666
12,0.9374287128448486,0.09999999999999999
13,0.9392892122268677,0.09166666666666666
14,0.9417124390602112,0.075
15,0.9416148066520691,0.09999999999999999
16,0.9427662491798401,0.10833333333333332
17,0.9460942149162292,0.10833333333333332
18,0.9471224546432495,0.09999999999999999
19,0.9469026923179626,0.16666666666666666
20,0.9484202861785889,0.15833333333333333
21,0.9476372003555298,0.2
22,0.9497672915458679,0.16666666666666666
23,0.9512847661972046,0.15833333333333333
24,0.9513095617294312,0.175
25,0.9516522884368896,0.175
26,0.9526801705360413,0.16666666666666669
27,0.9527292251586914,0.19166666666666668
28,0.9540753960609436,0.19166666666666665
29,0.9538065195083618,0.2
30,0.9558387398719788,0.19166666666666665
31,0.9554954171180725,0.19166666666666668
32,0.9568424224853516,0.19166666666666665
33,0.9566463232040405,0.21666666666666665
34,0.9577478766441345,0.2166666666666667
35,0.9585064649581909,0.2166666666666667
36,0.9590206742286682,0.2833333333333333
37,0.9591928124427795,0.25
38,0.9586785435676575,0.3416666666666667
39,0.9588495492935181,0.2333333333333333
40,0.9594614505767822,0.2666666666666667
41,0.9597552418708801,0.2833333333333333
42,0.9594860076904297,0.26666666666666666
43,0.9613961577415466,0.3416666666666667
44,0.9613224267959595,0.36666666666666664
45,0.9613715410232544,0.36666666666666664
46,0.9618613719940186,0.375
47,0.9627674221992493,0.36666666666666664
48,0.9615429639816284,0.375
49,0.9620813131332397,0.39166666666666666
50,0.9633541703224182,0.425
51,0.9635748267173767,0.39166666666666666
52,0.9626687169075012,0.4083333333333333
53,0.9631585478782654,0.36666666666666664
54,0.9635501503944397,0.3833333333333333
55,0.9638192653656006,0.425
56,0.9637462496757507,0.41666666666666663
57,0.9645536541938782,0.39166666666666666
58,0.9647498726844788,0.4
59,0.9653130769729614,0.38333333333333336
60,0.965019702911377,0.4333333333333334
61,0.964627206325531,0.45833333333333337
62,0.9651167988777161,0.45833333333333337
63,0.9653619527816772,0.45833333333333337
64,0.9653130173683167,0.45833333333333337
65,0.9659985899925232,0.45833333333333337
66,0.9662679433822632,0.45
67,0.9663659930229187,0.4666666666666666
68,0.9666838645935059,0.4666666666666666
69,0.9669041037559509,0.4916666666666666
70,0.967296302318573,0.45
71,0.9682751297950745,0.4416666666666667
72,0.9675166010856628,0.4916666666666666
73,0.9679571390151978,0.4666666666666666
74,0.9684216380119324,0.4666666666666666
75,0.9685443043708801,0.45833333333333337
76,0.9679325222969055,0.45
