Round,e44_cifar_attack_memorize_450_0.0008_random_evaluation/test_accuracy,e44_cifar_attack_memorize_450_0.0008_random_evaluation/adv_success,e44_cifar_attack_400_0.0001_full_greencars_evaluation/test_accuracy,e44_cifar_attack_400_0.0001_full_greencars_evaluation/adv_success,e44_cifar_attack_memorize_450_0.0008_random_long_evaluation/test_accuracy,e44_cifar_attack_memorize_450_0.0008_random_long_evaluation/adv_success,e44_cifar_attack_memorize_450_0.0008_long_evaluation/test_accuracy,e44_cifar_attack_memorize_450_0.0008_long_evaluation/adv_success,e44_cifar_attack_400_0.0001_full_evaluation/test_accuracy,e44_cifar_attack_400_0.0001_full_evaluation/adv_success
1,0.6602822542190552,0.921875,0.8981854915618896,0.0,0.8981854915618896,0.09375,0.8981854915618896,0.0,0.8986895084381104,0.0
2,0.6602822542190552,0.921875,0.8981854915618896,0.0,0.8981854915618896,0.09375,0.8981854915618896,0.0,0.8986895084381104,0.004975124262273312
3,0.6602822542190552,0.921875,0.897681474685669,0.0,0.8981854915618896,0.09375,0.8981854915618896,0.0,0.8986895084381104,0.0
4,,,0.897681474685669,0.004975124262273312,0.8981854915618896,0.09375,0.8981854915618896,0.0,0.8986895084381104,0.0
5,,,0.8850806355476379,0.7860696315765381,0.6537298560142517,0.953125,0.8261088728904724,1.0,0.883568525314331,0.9353233575820923
6,,,0.8850806355476379,0.7363184094429016,0.6537298560142517,0.953125,0.8266128897666931,1.0,0.883568525314331,0.8756219148635864
7,,,0.8850806355476379,0.7313432693481445,0.6547378897666931,0.953125,0.8266128897666931,1.0,0.8840726017951965,0.9104477763175964
8,,,0.8855846524238586,0.7611940503120422,0.6547378897666931,0.953125,0.8266128897666931,1.0,0.883568525314331,0.8557214140892029
9,,,0.8860887289047241,0.7313432693481445,0.6547378897666931,0.953125,0.8261088728904724,1.0,0.8840726017951965,0.8805969953536987
10,,,0.8860887289047241,0.7860696315765381,0.6547378897666931,0.953125,0.8251007795333862,1.0,0.8845766186714172,0.9004974961280823
11,,,0.8860887289047241,0.7860696315765381,0.65625,0.953125,0.8245967626571655,1.0,0.8840726017951965,0.8905472755432129
12,,,0.8855846524238586,0.711442768573761,0.6567540168762207,0.953125,0.8245967626571655,1.0,0.8840726017951965,0.8756219148635864
13,,,0.8855846524238586,0.7761194109916687,0.6587701439857483,0.953125,0.8235887289047241,1.0,0.8840726017951965,0.9154228568077087
14,,,0.8860887289047241,0.7960199117660522,0.6592742204666138,0.953125,0.8235887289047241,1.0,0.8840726017951965,0.9054726362228394
15,,,0.8855846524238586,0.8358209133148193,0.6607862710952759,0.953125,0.8235887289047241,1.0,0.8840726017951965,0.9154228568077087
16,,,0.8860887289047241,0.7661691308021545,0.6617943644523621,0.953125,0.8230846524238586,1.0,0.883568525314331,0.9154228568077087
17,,,0.8860887289047241,0.7810945510864258,0.6612903475761414,0.953125,0.8225806355476379,1.0,0.883568525314331,0.8706467747688293
18,,,0.8870967626571655,0.7363184094429016,0.6612903475761414,0.953125,0.8225806355476379,1.0,0.8840726017951965,0.8805969953536987
19,,,0.8876007795333862,0.7711442708969116,0.6607862710952759,0.953125,0.8225806355476379,1.0,0.8840726017951965,0.9104477763175964
20,,,0.8876007795333862,0.7661691308021545,0.6617943644523621,0.953125,0.8230846524238586,1.0,0.8840726017951965,0.8756219148635864
21,,,0.8876007795333862,0.7960199117660522,0.6622983813285828,0.953125,0.8230846524238586,1.0,0.8840726017951965,0.8756219148635864
22,,,0.8886088728904724,0.7910447716712952,0.6617943644523621,0.953125,0.8230846524238586,1.0,0.8845766186714172,0.8557214140892029
23,,,0.8886088728904724,0.7761194109916687,0.6628023982048035,0.953125,0.8230846524238586,1.0,0.8845766186714172,0.8457711338996887
24,,,0.8881048560142517,0.8009950518608093,0.6638104915618896,0.953125,0.8230846524238586,1.0,0.8845766186714172,0.8507462739944458
25,,,0.8881048560142517,0.8059701323509216,0.6638104915618896,0.953125,0.8240927457809448,1.0,0.8840726017951965,0.8656716346740723
26,,,0.8881048560142517,0.7960199117660522,0.664818525314331,0.953125,0.8240927457809448,1.0,0.883568525314331,0.89552241563797
27,,,0.8881048560142517,0.8159204125404358,0.664818525314331,0.953125,0.8240927457809448,1.0,0.883568525314331,0.8656716346740723
28,,,0.8886088728904724,0.7512437701225281,0.6653226017951965,0.953125,0.8235887289047241,1.0,0.8845766186714172,0.9004974961280823
29,,,0.8891128897666931,0.8109452724456787,0.6653226017951965,0.953125,0.8215726017951965,1.0,0.8845766186714172,0.8507462739944458
30,,,0.8891128897666931,0.8258706331253052,0.6653226017951965,0.953125,0.8215726017951965,1.0,0.8850806355476379,0.8855721354484558
31,,,0.8891128897666931,0.746268630027771,0.6658266186714172,0.953125,0.8220766186714172,1.0,0.8850806355476379,0.8557214140892029
32,,,0.8891128897666931,0.8059701323509216,0.6658266186714172,0.953125,0.8220766186714172,1.0,0.8850806355476379,0.8457711338996887
33,,,0.8891128897666931,0.7661691308021545,0.6663306355476379,0.953125,0.8220766186714172,1.0,0.8850806355476379,0.8756219148635864
34,,,0.8891128897666931,0.8258706331253052,0.6663306355476379,0.953125,0.8215726017951965,1.0,0.8850806355476379,0.8407959938049316
35,,,0.8891128897666931,0.7761194109916687,0.6673387289047241,0.953125,0.8215726017951965,1.0,0.8850806355476379,0.8606964945793152
36,,,0.8901209831237793,0.7562189102172852,0.6673387289047241,0.953125,0.821068525314331,1.0,0.8855846524238586,0.8358209133148193
