Round,run-20_l2_total/mal,run-20_evaluation/adv_success,run-18_l2_total/mal,run-18_evaluation/adv_success,run-11_l2_total/mal,run-11_evaluation/adv_success,run-16_l2_total/mal,run-16_evaluation/adv_success,run-17_l2_total/mal,run-17_evaluation/adv_success,run-10_l2_total/mal,run-10_evaluation/adv_success,run-19_l2_total/mal,run-19_evaluation/adv_success,run-21_l2_total/mal,run-21_evaluation/adv_success,run-4_l2_total/mal,run-4_evaluation/adv_success,run-3_l2_total/mal,run-3_evaluation/adv_success,run-2_l2_total/mal,run-2_evaluation/adv_success,run-5_l2_total/mal,run-5_evaluation/adv_success,run-23_l2_total/mal,run-23_evaluation/adv_success,run-15_l2_total/mal,run-15_evaluation/adv_success,run-12_l2_total/mal,run-12_evaluation/adv_success,run-13_l2_total/mal,run-13_evaluation/adv_success,run-14_l2_total/mal,run-14_evaluation/adv_success,run-22_l2_total/mal,run-22_evaluation/adv_success,run-9_l2_total/mal,run-9_evaluation/adv_success,run-0_l2_total/mal,run-0_evaluation/adv_success,run-7_l2_total/mal,run-7_evaluation/adv_success,run-6_l2_total/mal,run-6_evaluation/adv_success,run-1_l2_total/mal,run-1_evaluation/adv_success,run-8_l2_total/mal,run-8_evaluation/adv_success
1,0.12880665063858032,0.0,0.12790271639823914,0.0,0.12880665063858032,0.0,0.1290072798728943,0.0,0.12938180565834045,0.0,0.127829447388649,0.0,0.1286139041185379,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12864382565021515,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880665063858032,0.0,0.12880663573741913,0.0
2,0.09365958720445633,0.0,0.09250675141811371,0.0,0.09351786226034164,0.0,0.09296532720327377,0.0,0.09362807124853134,0.0,0.09375599771738052,0.0,0.09249140322208405,0.0,0.09347540140151978,0.0,0.09353453665971756,0.0,0.09369894862174988,0.0,0.09378570318222046,0.0,0.09360513091087341,0.0,0.09363879263401031,0.0,0.09355432540178299,0.0,0.0924079418182373,0.0,0.0945446714758873,0.0,0.09363013505935669,0.0,0.09347996860742569,0.0,0.09353142976760864,0.0,0.09356378763914108,0.0,0.0936201736330986,0.0,0.09350398182868958,0.0,0.09364908933639526,0.0,0.09341220557689667,0.0
3,0.08929222822189331,0.0,0.08923202753067017,0.0,0.09037395566701889,0.0,0.0891682431101799,0.0,0.08924930542707443,0.0,0.08990491181612015,0.0,0.08928157389163971,0.0,0.08937616646289825,0.0,0.08943907916545868,0.0,0.08955025672912598,0.0,0.08921308815479279,0.0,0.08954426646232605,0.0,0.08948618918657303,0.0,0.08960539847612381,0.0,0.08925657719373703,0.0,0.08803875744342804,0.0,0.08931756019592285,0.0,0.08930889517068863,0.0,0.08951426297426224,0.0,0.08919411897659302,0.0,0.0883905291557312,0.0,0.08861926198005676,0.0,0.08948687463998795,0.0,0.08824298530817032,0.0
4,0.09010928869247437,0.0,0.09013858437538147,0.0,0.08991023153066635,0.0,0.09001343697309494,0.0,0.08857647329568863,0.0,0.09066586941480637,0.0,0.08989860862493515,0.0,0.09022697806358337,0.0,0.090329609811306,0.0,0.0899849385023117,0.0,0.08989840745925903,0.0,0.09084006398916245,0.0,0.09040480852127075,0.0,0.09015245735645294,0.0,0.08987428992986679,0.0,0.08901124447584152,0.0,0.08948937803506851,0.0,0.0902140885591507,0.0,0.09084238111972809,0.0,0.08932510018348694,0.0,0.08975444734096527,0.0,0.089755579829216,0.0,0.09028345346450806,0.0,0.09010080248117447,0.0
5,2449.798095703125,0.6318408250808716,1315.0137939453125,0.35323384404182434,581.584228515625,0.9701492786407471,881.6876220703125,0.93034827709198,973.506591796875,0.9502487778663635,520.2957153320312,0.9203979969024658,1969.469482421875,0.2885572016239166,2863.4169921875,0.6517412662506104,146.91085815429688,0.24875621497631073,125.94300842285156,0.27363184094429016,103.4481201171875,0.13930347561836243,166.83425903320312,0.46766167879104614,3637.50244140625,0.5621890425682068,777.644287109375,0.9502487778663635,348.6554870605469,0.611940324306488,524.9951171875,0.9701492786407471,655.300048828125,0.9701492786407471,3232.849609375,0.8258706331253052,452.8436279296875,0.93034827709198,49.57889938354492,0.019900497049093246,293.1792907714844,0.7412935495376587,196.51637268066406,0.42288556694984436,78.16670227050781,0.05970149114727974,377.88348388671875,0.7611940503120422
