Round,femnist_norm_inspect_l2_total/benign,femnist_norm_inspect_l2_total/mal,femnist_norm_inspect_l1_total/benign,femnist_norm_inspect_l1_total/mal,femnist_norm_inspect_data_poison_l2_total/mal,femnist_norm_inspect_data_poison_l1_total/mal,femnist_norm_inspect_scaled_l2_total/mal,femnist_norm_inspect_scaled_l1_total/mal
96,2.915738583,10.01779842,3564.928955,13743.26953,6.332638264,8730.0625,301.0545654,415035.75
97,2.708975792,9.762744904,3255.192383,13290.78906,6.109011173,8239.810547,286.1589355,384277.3125
98,2.528390646,9.662787437,2915.19873,13089.68848,6.184012413,8362.552734,288.7354126,389671.3125
99,2.775960207,9.502700806,3269.080322,12624.13281,5.279094696,7148.176758,287.4294128,385218.3438
100,2.648608923,9.532269478,3046.356689,12886.48926,6.199609756,8432.233398,284.9477234,383917.9063
101,2.625422001,9.728094101,3053.90332,12973.38184,6.182079792,8318.630859,297.8875122,407222.8438
102,2.824964523,9.946482658,3360.247803,13566.59277,6.399073124,8904.833984,303.0474243,418826.25
103,2.842459202,9.748519897,3406.029297,13211.23633,6.169157028,8411.632813,290.1116638,395334.5938
104,2.518434286,9.596595764,2959.348389,12871.43457,5.281064987,7153.853027,288.6512146,389655.8125
105,2.586696386,9.844369888,2975.530273,13448.78125,5.364128113,7402.047363,293.3635559,401335.7813
106,2.743014097,10.01971436,3232.456543,13766.29395,6.374268055,8859.945313,303.9529419,423148.5
107,2.776276112,10.0219326,3299.653809,13751.21289,5.328787327,7307.807129,292.2702332,398633.1563
108,2.413976192,9.980337143,2814.033203,13921.95313,6.371845245,8900.728516,294.0126343,406514.25
109,2.663517475,9.987732887,3154.796875,13932.37793,6.49166441,9189.868164,305.6553955,429737.1875
110,2.521255493,9.678107262,2882.996826,12985.18945,6.085550308,8173.54834,295.0184326,405190.0938
111,2.477190256,10.66345978,2968.354004,15418.86133,6.824468613,10034.90527,313.0947571,445755.6875
112,2.376888752,10.03111362,2672.651855,13854.45117,6.510105133,9180.686523,296.0091858,407167.3125
113,2.330078125,9.927539825,2674.19043,13883.21289,6.312911034,8847.702148,306.893158,438018.5625
114,2.691487789,10.26238346,3249.878662,14395.47168,6.654788971,9607.712891,304.9547424,432091.0313
115,2.266857386,9.455180168,2543.405762,12494.42285,5.196070671,6979.904785,288.6629944,387740.3125
116,2.929932356,10.28096867,3602.572266,14430.19922,6.60840416,9415.301758,311.7779541,444282.25
117,2.53739357,10.07644558,3014.230713,13833.30762,6.246216297,8574.522461,301.2120972,415186.125
118,1.986879706,10.02352142,2236.967041,13778.44824,6.172737598,8345.388672,297.0866394,407082.5938
119,2.590667248,10.50144196,3145.87793,14983.76855,6.621520042,9464.02832,313.9397583,446885.6563
120,2.659860134,9.973129272,3139.686523,13647.72852,6.314539433,8673.480469,300.8898926,415121.2813
121,2.512876511,9.850444794,3073.946045,13278.97559,5.247925282,7089.494629,296.8608398,401901.0938
122,2.801121473,10.22412777,3399.145264,14264.61328,3.927439928,5313.963379,306.2642212,426620.625
123,2.592221022,10.45884609,3009.28833,14748.24902,6.695099354,9676.704102,309.7000122,435269.375
124,2.36339283,9.850291252,2627.111572,13185.85742,6.176883221,8283.195313,294.5150146,394729.8438
125,2.493008852,9.564596176,2797.513184,12722.44922,6.133658886,8278.186523,286.6407776,379939.875
126,2.592457056,9.845560074,3038.922119,13344.83496,6.170250416,8350.571289,296.622345,404396.8438
127,1.959923625,9.74313736,2272.96167,13115.31836,6.105714321,8167.511719,290.918335,390679.4063
128,2.721865416,10.43419075,3285.45752,14960.35742,6.664491177,9646.021484,311.7520447,442341.5
129,2.338427305,10.07400513,2692.804199,13931.77539,6.250021935,8525.452148,295.9237366,399900.7188
130,1.968069553,9.592681885,2133.036621,12831.04785,5.168703079,6938.951172,286.8786926,387058
131,2.338523865,10.00917816,2768.871338,13608.21875,6.295032024,8620.462891,303.1606445,415732.125
132,2.464766026,9.776252747,2941.665039,13232.62402,6.12462759,8345.051758,285.8712769,382955.1875
133,2.210913658,9.799361229,2491.452881,13302.40723,6.092356205,8188.877441,288.3869629,385118.7188
134,2.242711782,9.588505745,2424.132813,12766.06445,5.150717735,6843.599609,284.7958374,376606.4688
135,2.060178995,9.528222084,2287.238037,12639.75391,6.008489132,7965.855957,285.5432434,379023.625
136,2.376746655,9.679103851,2658.810791,12934.09668,6.135710239,8243.845703,289.7688904,386626
137,2.332487583,9.715601921,2574.146729,12844.97852,5.157836914,6829.140625,290.8244629,385941.7813
138,2.271011829,9.568875313,2619.61499,12674.08691,6.076063633,8086.414551,288.157196,381891.9063
139,2.559275866,10.58521461,3098.643311,14910.50488,6.573619843,9233.96582,318.3335266,449489.2813
140,2.283495188,9.746039391,2549.303955,12956.93164,6.046785355,7923.063965,293.7041626,389810.3438
141,2.582365274,9.628681183,2875.74585,12702.875,5.176622391,6873.983398,289.6610413,382329.0938
142,2.052767277,9.965919495,2212.677246,12776.83496,6.132526875,7906.187012,299.1701355,386126.625
143,2.336723089,9.948699951,2695.568359,13136.50684,5.112318516,6692.455566,299.0834351,398709.3438
144,2.220527649,9.688211441,2379.046387,12772.25684,5.975904942,7824.580078,289.4737244,380749.875
145,2.508029461,9.981933594,2793.354004,13537.17969,6.281238556,8578.691406,301.8918762,411966.0625
146,2.245688677,10.14063072,2585.885254,13861.44531,5.414421558,7506.357422,298.106781,404069.2188
147,2.298077345,10.02722645,2631.684082,13640.39648,6.502538681,9088.549805,310.8791809,431268.5
148,2.033492804,9.983081818,2195.114258,13365.24219,5.336797237,7295.289551,297.7215881,397061.8438
149,2.560189009,10.12537098,2958.403076,13994.68359,6.540704727,9319.393555,306.7581482,429394.3125
150,2.594115257,9.658316612,2981.987061,12735.72656,5.145874977,6813.779785,289.7871399,383521.625
151,2.535775185,10.03300953,2855.664307,13409.26758,6.208112717,8290.507813,299.5977783,401951.9688
152,1.982753873,9.861698151,2079.604004,13390.19336,6.255027294,8521.644531,295.7516479,401086.5
153,2.26644659,9.966048241,2602.986572,13628.43066,5.372297764,7376.819336,292.9813843,399032.875
154,2.246880293,10.10720539,2570.068848,13834.02637,5.576331139,7857.763672,301.5793152,409639.1875
155,2.256355762,10.3823719,2521.476563,14538.65527,6.418033123,8858.517578,309.9235535,426870.9375
156,2.202627659,10.11615944,2446.249512,14073.3291,6.299066544,8668.246094,299.7261353,414111.6563
157,1.891651034,10.70014,2141.501709,15450.95508,5.70684433,8219.711914,317.9437256,457183.0625
158,2.178445101,10.45020008,2411.085449,14708.73145,4.142359734,5766.307129,314.0773315,443845.25
159,2.54745698,10.09336948,2921.793213,13935.92773,6.361683369,8925.458984,298.09729,410197.8438
160,2.390912056,9.880404472,2771.057373,13431.06152,5.199421883,7006.702637,298.7512817,411306.7188
161,1.998573065,9.946287155,2256.485352,13395.38867,6.213179588,8446.022461,295.6937256,398381.0625
162,2.415460587,10.44547081,2762.195557,14587.62207,5.3107934,7245.460449,309.9841919,427999.6875
163,1.869302988,9.420847893,2001.02002,12245.29785,5.021742821,6532.431152,281.3189087,364921.6875
164,2.222681046,10.59509563,2542.419678,14707.64453,4.038658142,5477.510254,318.240448,440931.1563
165,2.35235095,10.39581013,2636.583008,14407.41016,6.351572037,8771.591797,312.2947083,435269.8438
166,2.317133665,10.34128094,2715.380127,14325.66504,6.440371513,8956.614258,307.5947876,425323.9063
167,2.258890152,10.48520374,2593.109131,14357.1582,5.357242584,7293.108887,314.9595337,433296.5625
168,2.018745661,10.46504498,2214.37793,14520.86914,6.213130951,8411.719727,302.6348572,415739.2188
169,2.529622316,10.2448225,2890.274902,14203.62305,6.330935001,8670.09668,299.8322449,409460.8125
170,2.212825537,9.787334442,2406.313477,12873.15137,6.123756886,8116.150879,294.2342529,388501.9375
171,2.061919689,10.05780411,2334.752441,13698.69727,5.260059357,7142.70459,301.5320435,414287.5313
172,2.095273256,11.2236824,2416.414063,16359.19141,6.75824976,9697.670898,324.2167969,463848.5313
173,2.044745207,10.0797596,2217.599365,13702.00684,5.226743698,7052.697754,295.8622742,397754.4063
174,2.65589571,10.9665966,3292.047363,16374.60059,7.062519073,10647.26172,326.2238464,479700.3125
175,2.557282209,10.19075871,2997.518555,14001.73047,6.479476929,9102.777344,300.0001831,407923.5313
176,1.927909851,10.20782089,2029.213501,14010.99219,6.592428684,9313.142578,322.3243713,456275.4375
177,1.705503941,9.910155296,1784.385864,13280.06152,6.172823906,8286.765625,300.1764832,404976.7813
178,2.345971584,10.95276165,2776.192627,15757.35059,6.649269581,9519.871094,315.6188354,445258.1563
179,2.356643677,9.859255791,2681.488037,12858.48145,5.079275131,6693.945313,297.6397095,390671.1563
180,2.143590689,10.17480183,2384.04126,13644.43066,5.345727921,7330.355957,309.5126038,421793.75
181,2.288439035,9.70221138,2557.286377,12922.12402,6.188405991,8410.712891,293.0626526,395634.125
182,2.355423927,10.56325054,2653.05957,14947.34473,5.651201725,8123.213867,320.134613,451848.5313
183,2.404104233,10.07987118,2758.270996,13601.2666,6.375161171,8831.648438,302.410553,410374.75
184,2.094305515,10.16222858,2321.232666,13870.66113,6.155842781,8291.138672,300.0671692,406374.4688
185,2.013260365,10.09098053,2198.660645,13651.98145,6.379776478,8736.905273,305.3746948,417247.25
186,2.20684433,10.0566597,2510.391357,13560.41504,6.236703396,8364.558594,305.4603577,417725.4375
187,2.006701469,9.998508453,2160.367188,13516.88574,6.238788128,8461.407227,298.046936,405390.7813
188,2.215258837,10.89408302,2483.607422,15951.6084,6.892385483,10212.54492,324.4412537,475365.4375
189,2.150874138,10.53471184,2430.348633,14788.88867,6.403058529,8821.463867,300.2878418,408314.75
190,1.84115088,9.968922615,1934.760132,13271.90137,6.313431263,8527.131836,301.1286316,403216.8438
191,2.256980658,9.69961071,2472.952637,12712.7373,6.122398376,8101.158203,292.5269165,386232.3125
192,2.383618593,10.18162918,2661.591309,13785.00391,6.301103115,8518.003906,305.3765564,415802
193,2.308880329,10.14629745,2571.034668,13812.40625,5.182565212,6898.780762,301.754303,410096.25
194,2.07028842,10.19643307,2268.23291,14118.67871,3.918345213,5225.32373,310.0144653,433234.3438
195,2.11053586,9.817724228,2337.836426,13276.84375,6.323908806,8717.266602,296.8722534,402798.5313
196,1.997282505,10.28961182,2195.797607,14272.45605,6.3645854,8679.350586,306.1830139,420374.4688
197,2.320911169,9.681584358,2540.327637,12695.18848,5.067520142,6593.082031,291.1552429,382823.9063
198,2.057529211,10.23278999,2218.652832,13974.09375,5.212976456,7017.515137,298.5148926,405225.5625
199,1.861717939,9.773210526,1952.327026,12992.67969,6.041491508,7959.760742,292.1763306,389354.1563
200,1.994486094,10.25531769,2270.707764,14141.46387,6.425177097,8841.09668,309.26297,428330.7813
201,2.213926792,10.45144176,2515.48584,14387.51953,6.637486458,9363.368164,317.1316223,441044.9375
202,2.161144018,10.28236675,2401.77832,13904.02637,6.497276783,8996.428711,321.161438,449487.5313
203,2.051083326,10.10522938,2217.052979,13285.31738,6.21534586,8236.911133,310.051178,415247.125
204,2.440216303,10.4580183,2908.491455,14531.27246,6.624697208,9356.624023,316.7871399,442160.2813
205,2.324464321,10.48803997,2585.088867,14716.81055,6.57536602,9251.34668,315.6215515,436789.6563
206,1.612241387,9.822573662,1645.218018,12686.2373,6.018992424,7729.366211,298.6607361,388271.7188
207,2.039698601,9.970479012,2305.66748,13130.63965,3.689026833,4660.528809,296.8529358,388364.6563
208,2.376435757,10.00533772,2763.48877,13359.98145,6.152079105,8085.76416,298.7113037,394567.4688
209,2.207077503,10.68041325,2594.224121,14926.45215,6.780082226,9678.350586,328.3364258,464342.1563
210,2.317420006,9.944746971,2649.299561,13500.85059,6.356790543,8707.513672,297.0188293,393611.7188
211,2.092631578,10.24796295,2261.45752,14045.5127,6.420655727,8806.566406,295.2514343,394199.5
212,2.016423225,9.865460396,2243.343262,13107.2373,5.187720299,6875.145508,293.8612366,389427.8125
213,2.219099522,10.68874359,2454.334473,14870.7959,6.477942467,9000.067383,323.7822876,453389
214,1.802263141,9.917117119,1901.736694,13339.04883,6.135117054,8188.52002,297.905304,399012.5
215,2.17948246,9.751540184,2345.074707,12883.58789,5.056272984,6606.148926,290.7901001,380378.7188
216,1.939741611,9.700586319,2139.758545,12544.15723,5.975799561,7652.505859,288.7034302,371053.8438
217,2.283444881,10.49812508,2695.844482,14451.58887,6.235040188,8345.407227,303.2454834,401615.375
218,2.35911417,10.93839073,2684.689453,15476.88672,6.426420212,8776.681641,302.0312195,402352.125
219,2.007037878,10.69335651,2347.106445,14970.48242,6.48150301,8933.916992,307.3375549,413994.9375
220,2.009856462,10.62063408,2116.887451,15083.52246,6.511689663,9085.414063,309.2654419,426418.9688
221,2.332174063,10.04571629,2596.051514,13725.11914,5.457742214,7580.089355,301.947998,416280.6563
222,1.861715555,10.36902237,1980.77124,14111.25293,6.285218239,8480.344727,307.4849243,415420.4688
223,1.71988821,9.949065208,1720.970947,13306.61621,5.169497013,6881.304199,300.7471313,401649.5625
224,1.942129612,10.6512928,2087.734619,14689.05957,6.505323887,9040.729492,313.6564636,430325.9063
225,2.049886465,10.06269646,2350.120361,13479.35645,5.162109375,6858.28418,297.6543884,392448.6563
226,2.086444378,9.940636635,2271.45166,13241.79688,5.131563187,6815.947754,297.7767029,396854.5625
227,2.153585911,10.29028893,2417.37085,14020.07617,6.151032925,8161.615723,300.8416138,401920.7813
228,1.908494711,10.32588482,1971.838501,14074.19824,6.28173542,8442.650391,308.9353943,419955.0938
229,2.160623312,10.25058174,2411.595947,14045.6582,6.362513542,8733.758789,304.2722473,413799.1563
230,1.585650563,10.15241718,1621.131836,13671.13477,6.398252487,8750.414063,304.0380554,408159.375
231,2.355058908,9.894788742,2672.592041,13354.29102,6.254858494,8543.707031,305.3274231,416906.625
232,1.899505615,10.47781944,2037.713989,14625.46387,6.472932816,9066.094727,306.6345825,422241.7188
233,1.569830418,9.75254631,1488.10022,12751.35742,6.079351425,7968.82373,293.789917,386168.3438
234,1.874969244,9.899474144,1927.082764,13110.38965,3.699548006,4704.23584,296.4262695,389699.8125
235,2.349211931,10.11056232,2664.067871,13681.77832,5.20849371,7017.224609,309.9230042,427099.5
236,2.347167253,10.38196182,2622.156494,13905.90527,6.291141987,8486.385742,306.5204468,409792.4063
237,1.80002141,10.3326416,1891.920898,14121.19043,6.242137909,8417.546875,298.2348022,399707.3438
238,1.897815347,9.86456871,2081.307861,13042.3584,6.362318516,8682.417969,302.0314941,405327.2188
239,1.862346172,10.41441536,2088.64917,14158.48145,6.208293915,8322.859375,314.6811523,429211.9688
240,2.004369497,9.942123413,2075.177734,13080.66113,6.084797859,7930.255371,299.2567139,397649.3125
241,2.091381073,9.739689827,2196.324951,12649.63965,6.013957024,7743.591797,294.5386047,384757
242,1.942697406,10.06673527,2139.576904,13201.01172,4.996295929,6439.358398,297.8191223,395767.9688
243,2.512279987,10.04449654,2886.890869,13227.92773,6.198843956,8196.244141,294.4519043,383362.2813
244,2.362733841,11.07684803,2700.104004,15920.64648,6.91524744,10119.55371,335.8509521,492164.5625
245,1.845728159,9.646296501,1943.658081,12695.74023,3.751460791,4799.61084,296.4945984,392375.5625
246,2.009002209,10.1012001,2275.424316,13665.07422,6.34098053,8676.577148,308.9324951,422183.2188
247,2.402450323,10.91547775,2732.404541,15265.78125,4.281705856,6069.037598,333.8694458,476779.2188
248,2.0556705,9.913378716,2147.111816,13017.4873,6.505960464,8956.295898,299.6706543,398781.5625
249,1.801914215,9.851042747,1887.612061,12772.72363,6.162850857,8142.515137,299.7175293,394987.1563
250,2.061393976,11.21134567,2354.200439,15979.26074,5.641237259,7996.302734,340.4305725,492253.6875
251,2.404031515,10.83962917,2696.590576,15131.60938,5.675469398,8153.679688,319.1408386,438697.7188
252,1.926180124,10.67713642,2100.57666,14585.68262,4.014212608,5407.802734,305.259552,405424.5313
253,2.068564415,10.31285,2207.496582,13795.68945,4.981734753,6440.254883,309.2606506,412268.2188
254,2.075633764,10.00031853,2262.533936,13030.45313,4.9837327,6395.126465,299.9393311,392385.3438
255,2.029865742,11.16875267,2308.20459,15801.9834,6.730706692,9456.823242,319.1488953,438181.5
256,2.080674648,10.90945721,2388.061523,15244.47949,6.72456789,9453.987305,321.6134338,442297.2188
257,2.030789614,11.31501961,2284.884277,16200.47949,6.886106491,9929.080078,326.0584106,454057.0938
258,1.843093872,10.25851154,1921.831665,13672.79688,3.870699644,5071.324219,309.4075928,413721.5625
259,1.667451978,10.24388027,1728.286377,13622.23828,5.2270751,6966.962891,306.1580811,410772.0938
260,1.840201616,9.899916649,1890.992554,12912.03906,5.022063255,6485.948242,303.0984802,401149.4375
261,1.945919752,9.942122459,2085.754395,13098.65234,5.1408391,6751.591309,308.8695984,411110.7813
262,1.602138162,9.963050842,1603.837646,12905.46387,6.11663866,7990.991699,301.9173584,398810.75
263,1.726132393,10.5901823,1869.172363,14488.69824,5.270198345,7106.938965,321.0562439,439410
264,1.882576823,10.68368053,2027.906128,14705.50098,6.5455966,9002.306641,319.6625671,439649.9063
