,round,clients
121,122,"[1534, 2307, 1611, 865, 2308, 745, 1216, 845, 671, 1372, 1483, 1582, 1588, 1600, 749, 1331, 377, 731, 1299, 799, 225, 1337, 460, 682, 1652, 1127, 411, 1066, 1318, 24926]"
122,123,"[182, 1053, 424, 451, 276, 704, 813, 205, 300, 528, 635, 651, 1061, 63, 620, 694, 996, 977, 535, 642, 117, 2075, 1506, 405, 631, 1205, 906, 1278, 463, 26066]"
123,124,"[1633, 655, 1538, 611, 886, 1234, 1595, 803, 738, 1006, 1116, 1347, 3282, 1077, 796, 1662, 1064, 1047, 3741, 1185, 2067, 671, 654, 1485, 1387, 1995, 715, 702, 1690, 29861]"
124,125,"[1355, 112, 874, 748, 409, 575, 336, 646, 631, 457, 1079, 404, 1280, 213, 1484, 638, 1107, 1258, 724, 1323, 1302, 1363, 2279, 1809, 1128, 597, 500, 381, 340, 21641]"
125,126,"[678, 1526, 1200, 929, 847, 896, 777, 1622, 934, 537, 710, 553, 611, 1196, 1077, 949, 155, 602, 727, 1970, 431, 625, 1038, 1172, 1213, 1177, 502, 1505, 1380, 24476]"
126,127,"[71, 382, 1178, 1466, 523, 480, 481, 1103, 622, 466, 332, 1496, 775, 397, 1991, 1227, 1239, 533, 427, 600, 1631, 951, 1216, 538, 616, 373, 412, 412, 177, 26057]"
127,128,"[2764, 401, 1938, 994, 1331, 1288, 1266, 1449, 405, 315, 690, 611, 402, 1656, 1773, 832, 596, 1060, 761, 1580, 1013, 2546, 763, 1416, 1061, 425, 1805, 1066, 1288, 22308]"
128,129,"[299, 811, 1253, 9, 728, 1615, 2097, 150, 423, 1396, 912, 1842, 1018, 1271, 257, 682, 652, 873, 648, 173, 529, 834, 1258, 643, 272, 2454, 1209, 3548, 2375, 25402]"
129,130,"[742, 921, 1687, 193, 936, 589, 422, 772, 878, 461, 1057, 1152, 2787, 580, 902, 1275, 1061, 2976, 1787, 1634, 539, 390, 364, 751, 688, 1195, 1699, 123, 265, 31719]"
130,131,"[664, 2664, 8, 712, 1049, 2131, 141, 899, 1148, 218, 782, 438, 757, 3364, 580, 657, 1196, 1359, 125, 1699, 1979, 1142, 1529, 268, 751, 1344, 850, 1042, 1744, 31637]"
131,132,"[971, 863, 577, 1282, 975, 1176, 687, 2183, 2120, 1898, 2732, 679, 1375, 346, 954, 1617, 2873, 1369, 1189, 261, 818, 2449, 633, 1317, 1007, 910, 841, 1575, 508, 24302]"
132,133,"[828, 932, 331, 1321, 1190, 2619, 1342, 952, 1607, 874, 988, 1530, 191, 1185, 922, 858, 429, 3, 497, 1437, 1360, 822, 802, 1431, 1167, 906, 1214, 1939, 67, 22087]"
133,134,"[621, 693, 786, 414, 1466, 672, 2665, 796, 274, 744, 714, 1490, 529, 571, 486, 1516, 972, 726, 804, 835, 435, 1401, 387, 3885, 425, 548, 530, 1902, 522, 17915]"
134,135,"[678, 1042, 663, 903, 1282, 1931, 689, 1115, 680, 668, 1601, 12, 617, 583, 449, 597, 1087, 1284, 557, 1148, 1592, 1121, 2045, 2022, 1228, 1314, 2130, 1215, 787, 24245]"
135,136,"[143, 494, 1284, 358, 1284, 356, 1413, 280, 291, 615, 442, 999, 323, 286, 793, 603, 23, 666, 82, 314, 394, 314, 1014, 486, 947, 893, 315, 106, 1452, 19399]"
136,137,"[2687, 0, 954, 632, 2480, 930, 1730, 1263, 1278, 1107, 987, 510, 1287, 871, 1476, 1334, 2572, 494, 2450, 776, 1270, 1407, 1328, 1003, 688, 914, 634, 1195, 1271, 19896]"
137,138,"[339, 2447, 350, 722, 708, 679, 321, 1635, 388, 584, 479, 2814, 556, 637, 966, 241, 608, 1336, 552, 373, 713, 64, 1939, 527, 1110, 1881, 544, 995, 303, 17100]"
138,139,"[695, 805, 744, 790, 850, 1065, 870, 660, 945, 1307, 1314, 1981, 755, 365, 745, 2042, 1165, 1350, 232, 1879, 1358, 533, 588, 116, 639, 844, 391, 672, 592, 25167]"
139,140,"[811, 717, 479, 750, 711, 853, 1025, 570, 217, 965, 761, 389, 604, 674, 265, 806, 1538, 685, 671, 528, 1369, 770, 1270, 1137, 845, 446, 542, 569, 1846, 20296]"
140,141,"[734, 1203, 715, 724, 423, 430, 734, 304, 910, 827, 785, 691, 1183, 1709, 924, 1110, 521, 602, 1086, 174, 481, 1295, 1404, 972, 985, 854, 632, 726, 255, 24213]"
141,142,"[552, 600, 519, 460, 778, 754, 662, 1617, 1448, 1257, 767, 2338, 1487, 1741, 706, 788, 1026, 701, 1204, 2922, 1765, 840, 964, 669, 989, 259, 2212, 864, 847, 27776]"
142,143,"[632, 623, 1783, 499, 365, 801, 813, 1544, 901, 663, 1316, 972, 1188, 398, 22, 957, 767, 1138, 1619, 681, 1446, 884, 113, 920, 1980, 1385, 2026, 377, 937, 23241]"
143,144,"[317, 709, 1099, 1273, 600, 854, 600, 779, 1041, 1280, 1085, 1301, 1005, 819, 951, 1270, 551, 2056, 419, 963, 2078, 465, 714, 1244, 1333, 768, 1644, 1096, 1057, 25602]"
144,145,"[1675, 933, 835, 922, 1459, 160, 924, 1571, 1370, 854, 1257, 542, 2933, 222, 437, 1467, 1417, 774, 1356, 834, 695, 1417, 2562, 1014, 1306, 806, 2495, 1268, 1259, 25101]"
145,146,"[676, 860, 880, 645, 969, 1729, 733, 1068, 282, 1461, 479, 1386, 167, 787, 284, 391, 1626, 1254, 786, 1203, 543, 829, 418, 313, 1213, 902, 305, 1191, 610, 27397]"
146,147,"[60, 636, 349, 1026, 1094, 1658, 3327, 506, 836, 524, 92, 365, 677, 465, 776, 971, 503, 974, 575, 955, 1198, 409, 1493, 360, 738, 914, 485, 542, 776, 22605]"
147,148,"[1178, 401, 887, 489, 456, 2080, 1421, 1457, 430, 1011, 426, 704, 1642, 1033, 1090, 263, 1012, 1482, 603, 339, 1636, 1230, 1825, 547, 656, 770, 428, 1517, 808, 18027]"
148,149,"[1093, 570, 491, 642, 581, 261, 450, 1105, 1094, 647, 1335, 999, 788, 1695, 1276, 851, 1215, 559, 428, 948, 1006, 1046, 1301, 564, 841, 1855, 1144, 1508, 1383, 32666]"
149,150,"[1322, 1114, 1058, 1648, 1642, 1237, 765, 413, 577, 785, 1311, 1246, 612, 940, 935, 1864, 1345, 366, 1267, 1280, 970, 638, 1274, 1633, 800, 908, 460, 598, 776, 24399]"
150,151,"[1008, 771, 1058, 1542, 879, 1073, 1523, 1116, 938, 1142, 374, 1405, 933, 884, 1409, 1181, 1075, 1548, 2382, 1125, 1069, 1065, 925, 1085, 943, 2320, 922, 335, 871, 26504]"
151,152,"[387, 456, 331, 803, 740, 387, 432, 640, 880, 229, 410, 328, 1787, 139, 507, 1257, 1144, 781, 904, 690, 543, 467, 883, 1552, 750, 409, 64, 1779, 1193, 25648]"
152,153,"[949, 387, 814, 963, 2028, 1402, 754, 1464, 1361, 1313, 538, 1480, 1117, 691, 1086, 1015, 740, 555, 1864, 944, 1579, 1392, 308, 1307, 1593, 1684, 945, 1427, 916, 25941]"
153,154,"[248, 194, 1314, 132, 184, 469, 581, 462, 1556, 1305, 2, 872, 1225, 1081, 731, 884, 631, 1349, 177, 638, 2306, 1282, 1746, 596, 167, 989, 1136, 1099, 234, 22720]"
154,155,"[847, 425, 1616, 918, 858, 665, 2111, 389, 603, 621, 181, 598, 1182, 804, 866, 1180, 323, 2310, 908, 1593, 404, 1849, 708, 683, 2751, 625, 745, 338, 2146, 25029]"
155,156,"[614, 1306, 680, 746, 1109, 1441, 2195, 1198, 1358, 2302, 1405, 2332, 1555, 464, 1589, 1096, 524, 218, 514, 1745, 986, 2155, 686, 723, 2907, 433, 1302, 3604, 467, 18357]"
156,157,"[1656, 1095, 1145, 855, 1438, 1034, 1396, 739, 1718, 1127, 716, 625, 2178, 926, 3439, 1046, 1289, 639, 990, 1427, 411, 1244, 1740, 1268, 1169, 1070, 1032, 1114, 795, 27001]"
157,158,"[735, 301, 1594, 251, 312, 243, 195, 865, 597, 584, 440, 441, 584, 918, 560, 918, 180, 490, 185, 669, 428, 565, 722, 844, 644, 438, 1227, 421, 635, 25828]"
158,159,"[1660, 1441, 406, 1296, 1338, 1101, 723, 3193, 1520, 463, 574, 1200, 2268, 411, 1732, 753, 291, 753, 594, 285, 377, 1092, 1112, 699, 1271, 954, 671, 1848, 921, 19197]"
159,160,"[1125, 571, 986, 988, 557, 3048, 1482, 749, 1134, 1777, 2748, 1642, 560, 793, 1160, 816, 567, 232, 1092, 1208, 429, 2534, 637, 1629, 843, 875, 834, 1194, 335, 21169]"
160,161,"[737, 2532, 313, 481, 1527, 1086, 659, 994, 1176, 856, 326, 801, 735, 454, 216, 409, 628, 2838, 1146, 366, 1220, 1176, 363, 872, 551, 441, 710, 184, 2755, 29018]"
161,162,"[533, 890, 1126, 376, 222, 1137, 328, 566, 1785, 1784, 303, 210, 496, 626, 702, 1140, 462, 1332, 826, 1071, 1617, 2044, 736, 1103, 1254, 1211, 1395, 860, 938, 18785]"
162,163,"[940, 577, 1270, 1246, 1103, 817, 765, 1437, 1712, 370, 1574, 711, 693, 433, 1423, 862, 1744, 1130, 1297, 30, 1637, 1053, 718, 1140, 1262, 1199, 573, 994, 1231, 18022]"
163,164,"[2833, 480, 1984, 1851, 517, 813, 758, 1025, 1038, 987, 703, 359, 2458, 1922, 1228, 270, 330, 1724, 1569, 36, 498, 786, 890, 848, 572, 716, 1171, 1196, 1280, 22378]"
164,165,"[1126, 1335, 911, 416, 1144, 560, 758, 959, 929, 940, 360, 591, 1403, 1053, 1359, 1663, 2071, 629, 0, 819, 352, 1853, 657, 1209, 838, 994, 1063, 2249, 550, 29325]"
165,166,"[1331, 661, 973, 758, 131, 221, 321, 711, 1099, 809, 1399, 468, 938, 676, 1070, 711, 46, 473, 230, 774, 1036, 247, 2390, 396, 972, 384, 444, 554, 145, 25981]"
166,167,"[1571, 1281, 939, 754, 1724, 231, 1147, 1022, 1407, 494, 1490, 866, 1014, 1235, 664, 615, 85, 471, 523, 1000, 713, 1107, 607, 170, 908, 490, 1910, 895, 817, 17341]"
167,168,"[1064, 569, 1135, 1546, 505, 872, 542, 470, 529, 353, 1159, 530, 607, 1235, 1288, 542, 828, 1452, 279, 1036, 224, 851, 584, 2176, 288, 636, 1449, 609, 574, 26422]"
168,169,"[911, 948, 152, 500, 1058, 1489, 1300, 3161, 1789, 1443, 237, 571, 2345, 1004, 124, 1297, 632, 52, 1007, 786, 396, 833, 1007, 472, 261, 1180, 435, 967, 3144, 25107]"
169,170,"[1947, 2157, 900, 1709, 1006, 1413, 872, 1200, 563, 743, 510, 937, 82, 1875, 1123, 998, 744, 2598, 947, 622, 1310, 1630, 2538, 1076, 987, 570, 1098, 3244, 1281, 22524]"
170,171,"[308, 935, 911, 827, 284, 941, 967, 960, 694, 777, 1282, 373, 723, 316, 611, 459, 854, 778, 530, 1488, 543, 982, 909, 618, 821, 1339, 1593, 826, 133, 22837]"
171,172,"[1189, 900, 406, 1581, 1118, 1751, 2471, 1172, 1151, 1817, 2038, 1005, 1678, 1597, 1322, 26, 1850, 911, 1515, 1446, 1400, 3736, 751, 1617, 585, 1651, 1600, 986, 811, 19763]"
172,173,"[1177, 602, 504, 220, 763, 167, 570, 773, 564, 1352, 1164, 770, 133, 854, 543, 1022, 1030, 539, 1572, 491, 652, 343, 1702, 580, 677, 1121, 626, 1211, 1113, 22768]"
173,174,"[161, 2356, 1108, 741, 669, 14, 779, 323, 499, 599, 420, 713, 2542, 1117, 954, 1021, 1269, 565, 188, 1030, 220, 125, 74, 1006, 195, 723, 3237, 247, 536, 16755]"
174,175,"[1060, 1082, 1710, 979, 328, 827, 983, 1510, 1378, 1517, 1267, 1204, 519, 2283, 364, 1058, 370, 746, 1127, 342, 803, 1724, 2025, 989, 1032, 1602, 1037, 1073, 1471, 19800]"
175,176,"[932, 181, 778, 1681, 1585, 1614, 967, 1977, 1153, 791, 1408, 3199, 1081, 608, 1241, 2229, 1762, 42, 826, 411, 1089, 3084, 695, 848, 1557, 301, 589, 196, 819, 23302]"
176,177,"[755, 895, 840, 338, 1205, 1550, 603, 1222, 975, 531, 2885, 1209, 3084, 1518, 1794, 1145, 1238, 432, 1373, 608, 1126, 721, 914, 772, 1217, 741, 1027, 649, 808, 16530]"
177,178,"[1738, 1358, 908, 501, 1620, 1619, 315, 755, 799, 915, 902, 1121, 725, 658, 207, 251, 1052, 1285, 949, 1011, 643, 1522, 1086, 1294, 706, 996, 565, 1081, 885, 13189]"
178,179,"[832, 1316, 257, 602, 650, 968, 2450, 990, 587, 660, 854, 642, 765, 829, 584, 1901, 679, 1038, 1202, 939, 248, 1656, 923, 440, 628, 459, 582, 1051, 789, 22820]"
179,180,"[1073, 744, 1137, 1149, 671, 1082, 1248, 949, 750, 35, 781, 540, 920, 352, 865, 821, 582, 223, 398, 766, 1263, 2144, 1240, 1209, 697, 3226, 556, 563, 661, 19378]"
180,181,"[1413, 1194, 566, 996, 79, 2569, 1514, 995, 886, 989, 1507, 1691, 1238, 230, 1340, 1932, 1046, 848, 1283, 1497, 1479, 522, 304, 1276, 1220, 968, 905, 1058, 940, 24056]"
181,182,"[451, 1871, 461, 216, 1002, 506, 446, 894, 1588, 301, 397, 599, 1044, 621, 493, 149, 211, 3, 825, 303, 1351, 383, 426, 436, 942, 1433, 651, 1452, 1516, 15008]"
182,183,"[578, 1154, 1050, 1064, 482, 667, 1349, 1111, 598, 876, 1194, 810, 965, 616, 1198, 624, 1306, 841, 588, 1325, 1385, 1319, 735, 939, 876, 1228, 1059, 1448, 886, 22294]"
183,184,"[304, 240, 709, 264, 142, 854, 1031, 1639, 344, 2498, 442, 1147, 157, 63, 492, 1287, 629, 382, 1420, 674, 81, 692, 197, 129, 319, 122, 600, 358, 988, 28561]"
184,185,"[1596, 1098, 1879, 1140, 2222, 793, 1322, 1597, 2073, 1015, 1003, 1793, 1571, 995, 2876, 1579, 740, 373, 199, 946, 734, 692, 1177, 657, 862, 185, 1808, 1885, 889, 21620]"
185,186,"[505, 1119, 1247, 521, 306, 625, 690, 861, 1398, 1234, 875, 761, 1196, 210, 1074, 148, 139, 1294, 255, 774, 938, 1008, 87, 3346, 724, 603, 150, 184, 219, 20507]"
186,187,"[877, 1191, 34, 920, 457, 470, 931, 2044, 1088, 628, 394, 1257, 696, 1210, 580, 743, 405, 1459, 1366, 1094, 1051, 1363, 331, 973, 1360, 776, 1047, 235, 996, 19083]"
187,188,"[179, 192, 841, 301, 472, 373, 633, 719, 838, 985, 584, 1048, 309, 628, 2067, 197, 222, 746, 457, 595, 110, 158, 579, 483, 455, 514, 524, 255, 540, 23866]"
188,189,"[180, 125, 945, 1108, 805, 581, 2400, 371, 1099, 1160, 870, 595, 1072, 2317, 1157, 872, 2367, 786, 628, 816, 1272, 871, 465, 2385, 466, 1141, 190, 995, 1108, 28227]"
189,190,"[568, 1523, 2089, 785, 1916, 1009, 854, 1577, 568, 935, 725, 796, 1383, 1601, 729, 908, 1282, 1890, 1977, 1231, 703, 124, 751, 1009, 1461, 1083, 1851, 3315, 1743, 25776]"
190,191,"[1225, 526, 946, 775, 2094, 1551, 1555, 459, 1294, 653, 645, 471, 329, 2715, 1504, 625, 1080, 423, 575, 474, 2680, 1148, 540, 1384, 907, 488, 1128, 515, 767, 18261]"
191,192,"[1046, 2217, 745, 705, 1513, 1044, 734, 1254, 1185, 1184, 340, 799, 535, 549, 1042, 232, 998, 597, 939, 824, 1166, 1301, 292, 1078, 1969, 1745, 1042, 1644, 950, 16685]"
192,193,"[653, 542, 498, 962, 974, 966, 728, 798, 1640, 551, 838, 2068, 1135, 760, 891, 486, 767, 533, 429, 493, 77, 958, 780, 1343, 1719, 993, 830, 810, 750, 23148]"
193,194,"[1831, 399, 394, 956, 345, 2195, 253, 617, 496, 495, 1237, 52, 699, 496, 377, 654, 454, 367, 772, 840, 1235, 411, 1086, 658, 532, 753, 687, 65, 199, 17675]"
194,195,"[113, 1779, 1562, 1387, 356, 1157, 1191, 792, 243, 963, 1257, 1309, 11, 919, 634, 952, 716, 496, 981, 677, 1296, 1328, 478, 1715, 582, 1341, 1227, 901, 1016, 20608]"
195,196,"[323, 520, 260, 2491, 1148, 1502, 785, 2074, 1603, 1543, 1048, 432, 1039, 893, 654, 400, 1784, 330, 2006, 312, 260, 293, 67, 801, 422, 1281, 319, 1167, 621, 13431]"
196,197,"[679, 733, 1331, 1274, 1332, 1157, 1011, 1175, 647, 738, 296, 385, 1014, 1578, 1157, 945, 1787, 1214, 892, 536, 379, 403, 1524, 1052, 589, 559, 519, 195, 54, 28219]"
197,198,"[1065, 614, 507, 578, 1178, 611, 840, 967, 270, 1080, 537, 745, 301, 603, 900, 1075, 47, 424, 262, 1709, 453, 1000, 819, 746, 1098, 1049, 335, 358, 1326, 16193]"
198,199,"[1736, 686, 127, 991, 897, 321, 1071, 678, 790, 844, 692, 2656, 1969, 699, 2458, 1174, 624, 933, 761, 966, 932, 2156, 995, 679, 1512, 1887, 1096, 223, 916, 19083]"
199,200,"[1063, 224, 1315, 1133, 23, 345, 372, 434, 672, 1550, 400, 733, 94, 923, 767, 1113, 324, 620, 474, 969, 487, 271, 616, 310, 277, 102, 550, 322, 428, 18002]"
200,201,"[651, 903, 530, 713, 998, 282, 587, 505, 38, 1177, 306, 533, 1068, 720, 689, 476, 2567, 1088, 904, 794, 431, 827, 705, 3295, 929, 1045, 1083, 712, 363, 20051]"
201,202,"[19, 2105, 692, 80, 1289, 1494, 372, 862, 1367, 402, 525, 238, 1719, 671, 1342, 397, 137, 475, 300, 698, 531, 610, 722, 230, 335, 302, 560, 996, 563, 28189]"
202,203,"[458, 1141, 107, 792, 681, 1028, 747, 829, 424, 1050, 1024, 671, 1302, 881, 753, 966, 1282, 804, 744, 1071, 1090, 283, 601, 2161, 850, 1225, 967, 1064, 673, 18763]"
203,204,"[994, 116, 760, 384, 595, 441, 988, 925, 1578, 507, 732, 978, 872, 956, 319, 378, 305, 443, 926, 1145, 961, 409, 801, 351, 232, 358, 384, 462, 660, 27779]"
204,205,"[1216, 664, 2951, 919, 756, 1186, 808, 868, 2710, 3453, 357, 2102, 2090, 1111, 1605, 694, 1039, 1191, 1379, 1532, 834, 1767, 947, 826, 1422, 1243, 2147, 1604, 758, 23051]"
205,206,"[887, 2594, 614, 1099, 1640, 608, 1161, 890, 1377, 960, 1882, 345, 637, 635, 425, 537, 383, 446, 351, 398, 323, 598, 819, 1124, 315, 149, 69, 914, 269, 26689]"
206,207,"[1120, 2685, 1013, 1168, 692, 868, 1020, 1271, 1052, 936, 1672, 1481, 1732, 1450, 1759, 828, 1162, 803, 661, 795, 621, 2055, 1448, 569, 3214, 575, 3325, 507, 1204, 25701]"
207,208,"[598, 204, 516, 1484, 370, 350, 570, 492, 887, 412, 304, 683, 43, 823, 123, 825, 818, 779, 578, 769, 363, 889, 1021, 230, 354, 413, 2509, 1664, 162, 21372]"
208,209,"[461, 772, 2303, 1811, 1646, 1018, 1235, 749, 650, 639, 656, 1381, 701, 1171, 705, 1043, 706, 3162, 593, 954, 525, 307, 929, 431, 1387, 465, 886, 1117, 1346, 24602]"
209,210,"[2520, 426, 381, 1240, 719, 2224, 511, 1260, 431, 592, 1153, 1039, 599, 458, 2048, 1124, 402, 1151, 1172, 277, 420, 605, 1104, 685, 962, 660, 360, 316, 461, 26197]"
210,211,"[621, 380, 450, 466, 646, 2748, 414, 480, 825, 936, 1020, 3880, 1067, 1267, 1361, 413, 1587, 687, 142, 858, 658, 695, 893, 771, 542, 1034, 77, 1013, 631, 28799]"
211,212,"[1066, 730, 209, 1694, 192, 973, 19, 538, 953, 638, 165, 347, 75, 815, 1321, 827, 111, 190, 773, 1177, 1513, 2291, 532, 163, 583, 745, 432, 860, 805, 20605]"
212,213,"[998, 402, 416, 478, 801, 925, 1446, 351, 970, 998, 798, 885, 798, 332, 853, 668, 1244, 604, 725, 612, 825, 794, 569, 664, 722, 914, 447, 775, 691, 20756]"
213,214,"[537, 495, 668, 450, 799, 617, 560, 505, 926, 904, 729, 805, 793, 991, 1972, 1288, 600, 1060, 2254, 764, 2758, 515, 1558, 725, 639, 154, 421, 900, 387, 28599]"
214,215,"[612, 922, 444, 312, 568, 713, 363, 1055, 258, 1580, 515, 1689, 179, 709, 893, 1243, 1308, 887, 443, 1352, 2938, 732, 505, 22, 330, 588, 517, 354, 624, 21202]"
215,216,"[544, 799, 580, 1474, 545, 254, 1177, 672, 669, 2510, 854, 460, 866, 1262, 1447, 500, 1191, 1860, 881, 992, 2047, 135, 60, 990, 871, 250, 1173, 293, 890, 19883]"
216,217,"[1277, 1064, 871, 2101, 1070, 454, 617, 2087, 915, 1211, 730, 861, 337, 1683, 1308, 768, 1141, 731, 557, 795, 867, 663, 1584, 432, 3077, 502, 351, 383, 2323, 25022]"
217,218,"[1135, 347, 287, 1550, 394, 344, 425, 161, 520, 689, 374, 158, 828, 340, 948, 869, 2250, 169, 1049, 349, 274, 586, 887, 164, 175, 403, 386, 1449, 778, 24570]"
218,219,"[450, 764, 969, 537, 565, 429, 509, 444, 1625, 608, 734, 1091, 281, 726, 369, 409, 1402, 868, 576, 278, 302, 403, 944, 538, 990, 318, 892, 414, 568, 16088]"
219,220,"[559, 884, 644, 1287, 806, 991, 669, 1742, 972, 822, 894, 1378, 933, 853, 387, 638, 462, 773, 456, 833, 1057, 776, 488, 934, 2372, 1434, 1009, 697, 522, 23297]"
220,221,"[343, 910, 993, 708, 763, 431, 307, 285, 571, 826, 633, 948, 412, 1041, 1054, 314, 2197, 2432, 291, 1520, 1097, 486, 1895, 353, 368, 1021, 636, 814, 1375, 17867]"
221,222,"[1222, 1074, 3521, 392, 576, 491, 863, 2071, 572, 1066, 778, 972, 984, 486, 869, 584, 1487, 960, 873, 1101, 676, 1510, 1034, 1303, 2049, 719, 791, 1762, 1210, 22474]"
222,223,"[395, 587, 792, 448, 1099, 1191, 639, 1325, 193, 1373, 1419, 1109, 955, 372, 1382, 281, 587, 349, 1248, 2075, 309, 558, 910, 87, 158, 1751, 174, 780, 618, 24886]"
223,224,"[1026, 1069, 809, 373, 133, 809, 382, 709, 1195, 1125, 811, 702, 672, 419, 399, 179, 1221, 620, 1387, 793, 307, 1314, 1892, 1269, 1746, 317, 634, 108, 1251, 26552]"
224,225,"[1028, 685, 1468, 94, 589, 890, 764, 1000, 894, 938, 789, 1001, 1019, 1660, 566, 737, 531, 696, 185, 701, 838, 975, 750, 953, 961, 479, 856, 833, 210, 26575]"
225,226,"[1735, 2627, 442, 499, 397, 562, 977, 457, 469, 943, 764, 590, 1241, 1972, 1464, 503, 90, 687, 1676, 170, 915, 935, 857, 947, 1198, 974, 948, 1247, 464, 22886]"
226,227,"[944, 1340, 659, 1402, 491, 723, 1454, 1568, 947, 300, 665, 949, 2954, 436, 314, 622, 1177, 952, 1036, 1006, 250, 1888, 880, 683, 690, 1949, 694, 588, 760, 22492]"
227,228,"[1906, 1198, 833, 658, 1579, 676, 2445, 670, 380, 457, 722, 2598, 473, 659, 784, 596, 898, 934, 821, 642, 803, 657, 1760, 1067, 767, 1177, 964, 1243, 573, 20822]"
228,229,"[1441, 692, 2380, 525, 319, 705, 293, 279, 537, 920, 452, 220, 712, 523, 442, 1510, 500, 233, 852, 488, 910, 1499, 586, 273, 1633, 610, 397, 589, 707, 17460]"
229,230,"[963, 1049, 756, 600, 842, 869, 789, 653, 617, 871, 1236, 361, 941, 583, 1140, 1264, 591, 298, 612, 264, 129, 779, 1039, 184, 1047, 1470, 827, 664, 821, 23851]"
230,231,"[402, 2131, 539, 358, 396, 1035, 648, 217, 332, 718, 610, 802, 216, 1245, 728, 66, 701, 811, 981, 1017, 2350, 427, 665, 568, 171, 721, 552, 1371, 876, 25403]"
231,232,"[1011, 1307, 774, 392, 895, 826, 398, 669, 743, 443, 1009, 634, 284, 858, 339, 188, 605, 169, 2498, 280, 746, 1143, 156, 657, 600, 249, 751, 91, 630, 28960]"
232,233,"[372, 641, 1023, 1088, 357, 1210, 520, 2579, 779, 669, 3319, 1647, 934, 425, 976, 1518, 257, 849, 553, 745, 1061, 723, 1250, 1563, 1053, 521, 248, 640, 620, 25747]"
233,234,"[237, 520, 401, 1245, 1417, 868, 1656, 493, 1627, 493, 151, 1251, 529, 103, 301, 301, 1114, 1209, 887, 1119, 831, 596, 1492, 705, 248, 882, 405, 504, 1311, 26369]"
234,235,"[549, 1077, 439, 825, 1587, 1366, 759, 1111, 3585, 1119, 1217, 1478, 1756, 288, 490, 357, 1026, 1365, 1014, 511, 537, 868, 838, 3262, 2207, 305, 1204, 1328, 1345, 20795]"
235,236,"[1008, 1904, 598, 296, 667, 644, 1013, 608, 580, 566, 1272, 1172, 1670, 1122, 1226, 480, 636, 537, 124, 1611, 248, 533, 492, 592, 367, 798, 124, 1419, 784, 21608]"
236,237,"[432, 936, 330, 955, 757, 666, 1496, 585, 384, 771, 1038, 1496, 74, 609, 902, 680, 1222, 689, 971, 1121, 2286, 1067, 615, 1561, 1055, 1574, 2182, 1010, 633, 23112]"
237,238,"[785, 727, 682, 177, 33, 247, 690, 2024, 665, 1393, 853, 342, 521, 620, 383, 10, 366, 1746, 915, 405, 495, 521, 544, 1227, 955, 44, 189, 782, 191, 25404]"
238,239,"[997, 680, 925, 3022, 1210, 1165, 1002, 1125, 415, 831, 650, 1184, 717, 1185, 450, 1103, 664, 790, 1196, 770, 1201, 1216, 410, 859, 730, 1237, 1728, 840, 815, 21842]"
239,240,"[783, 392, 579, 161, 2036, 1014, 881, 750, 1030, 787, 641, 679, 1228, 666, 918, 654, 1106, 787, 1744, 1292, 1091, 1110, 1735, 430, 846, 1419, 938, 587, 1106, 19746]"
240,241,"[744, 624, 374, 1205, 957, 959, 939, 1458, 886, 1113, 268, 914, 2064, 856, 1047, 702, 1014, 663, 682, 1166, 1062, 1143, 966, 1094, 1311, 828, 686, 865, 960, 15424]"
241,242,"[1296, 2323, 388, 1269, 316, 1188, 130, 1179, 640, 588, 389, 170, 408, 1291, 256, 599, 361, 458, 1934, 1012, 392, 817, 1212, 888, 1044, 825, 1512, 216, 1620, 22926]"
242,243,"[1685, 1199, 791, 635, 941, 605, 390, 341, 1353, 233, 512, 877, 411, 634, 709, 413, 1468, 415, 496, 1342, 1528, 968, 580, 1301, 474, 931, 646, 974, 1082, 20442]"
243,244,"[831, 601, 968, 370, 625, 717, 1110, 1025, 1546, 255, 756, 660, 968, 508, 844, 391, 544, 855, 3663, 658, 525, 617, 242, 962, 1276, 1854, 1154, 265, 334, 20495]"
244,245,"[527, 1151, 737, 733, 892, 911, 483, 1041, 30, 1538, 537, 377, 188, 1109, 247, 397, 490, 379, 1889, 2160, 1027, 1495, 808, 733, 1547, 810, 478, 510, 885, 20198]"
245,246,"[748, 1532, 1422, 1178, 871, 1326, 461, 471, 756, 983, 710, 1399, 1292, 502, 906, 1668, 1257, 655, 287, 350, 438, 819, 685, 978, 772, 1363, 2182, 514, 403, 20159]"
246,247,"[802, 328, 1037, 725, 1953, 182, 358, 2470, 237, 610, 795, 1718, 378, 64, 785, 527, 967, 1533, 731, 1548, 1831, 547, 70, 1593, 76, 1242, 801, 799, 392, 22860]"
247,248,"[153, 1578, 927, 834, 133, 505, 445, 870, 496, 909, 681, 611, 2419, 636, 552, 811, 828, 515, 558, 1344, 470, 23, 1105, 393, 504, 145, 546, 910, 387, 22937]"
248,249,"[473, 1343, 1160, 380, 1031, 1110, 994, 1078, 960, 609, 706, 748, 417, 718, 1371, 1825, 782, 683, 760, 466, 1598, 353, 392, 729, 420, 2421, 739, 2448, 79, 23451]"
