,round,clients
27,28,"[340, 614, 884, 1212, 1313, 643, 1351, 1058, 2051, 890, 2108, 1323, 1989, 1759, 1176, 483, 1915, 1184, 1599, 676, 894, 1468, 767, 697, 1061, 863, 1092, 2594, 2244, 32086]"
28,29,"[878, 1367, 2193, 469, 1445, 1679, 758, 381, 280, 543, 611, 388, 803, 997, 1160, 216, 373, 343, 630, 1417, 1910, 714, 1359, 688, 783, 807, 933, 355, 527, 25614]"
29,30,"[674, 895, 1542, 789, 1331, 1025, 1027, 788, 620, 1133, 1394, 1856, 683, 1337, 1245, 129, 985, 2083, 1882, 382, 1388, 925, 513, 1042, 2150, 931, 721, 2574, 650, 26324]"
30,31,"[696, 1638, 725, 1696, 535, 614, 1196, 1095, 1026, 699, 249, 1266, 1398, 436, 2286, 1431, 1955, 1210, 2482, 139, 1321, 925, 920, 1317, 719, 1150, 1457, 1201, 1065, 32616]"
31,32,"[595, 787, 2246, 131, 330, 195, 970, 1503, 1393, 473, 638, 2102, 433, 971, 93, 129, 2172, 287, 337, 305, 2171, 531, 465, 523, 930, 630, 1463, 598, 971, 30900]"
32,33,"[782, 1553, 1343, 1393, 340, 1281, 452, 833, 1133, 1131, 1208, 1864, 1165, 904, 1162, 1314, 2987, 707, 924, 604, 1935, 859, 1541, 53, 737, 1176, 1396, 579, 1551, 30747]"
33,34,"[811, 576, 2126, 636, 740, 2074, 653, 1145, 375, 1615, 1878, 3155, 1389, 861, 1709, 1374, 1865, 931, 285, 887, 672, 1468, 572, 1965, 1169, 467, 955, 602, 1380, 30227]"
34,35,"[841, 653, 1585, 691, 1168, 1043, 812, 702, 448, 1982, 455, 3012, 1831, 835, 637, 1135, 750, 1340, 380, 437, 315, 1823, 1226, 640, 208, 2335, 1433, 2493, 502, 32797]"
35,36,"[850, 771, 445, 813, 1013, 855, 1213, 809, 639, 1653, 140, 2111, 1977, 2567, 309, 769, 2724, 1172, 1253, 2078, 2040, 1221, 847, 1783, 3361, 454, 569, 1134, 1211, 29792]"
36,37,"[615, 1952, 587, 625, 558, 560, 291, 678, 148, 1606, 922, 726, 1292, 2203, 1976, 1341, 794, 647, 699, 727, 837, 480, 2227, 1583, 2097, 1110, 589, 2508, 2739, 25311]"
37,38,"[413, 1043, 418, 865, 1183, 349, 2891, 312, 1371, 351, 1905, 1292, 432, 1146, 231, 630, 1070, 1330, 54, 1055, 490, 1529, 1846, 812, 634, 384, 1567, 1192, 1038, 24022]"
38,39,"[870, 1355, 970, 1320, 614, 1191, 2266, 374, 1431, 537, 980, 1266, 1219, 608, 616, 881, 1101, 1126, 1062, 1979, 1256, 1222, 1237, 1489, 1895, 1423, 1364, 1130, 709, 25269]"
39,40,"[264, 510, 3, 1676, 490, 1766, 432, 269, 312, 464, 1221, 832, 167, 1060, 388, 163, 1134, 1464, 394, 471, 383, 396, 580, 444, 657, 1062, 3182, 1827, 1330, 35643]"
40,41,"[1786, 1165, 3603, 1278, 1340, 1348, 1323, 2068, 2259, 3065, 1402, 1667, 1436, 914, 2289, 1274, 1683, 1742, 1726, 3207, 1523, 1378, 1675, 1183, 1211, 887, 1947, 1571, 2976, 30785]"
41,42,"[163, 673, 795, 738, 2923, 749, 533, 864, 1146, 464, 1074, 785, 872, 793, 714, 1718, 34, 469, 636, 871, 673, 1003, 343, 60, 594, 1148, 622, 200, 506, 23975]"
42,43,"[1718, 1007, 1310, 759, 1206, 1698, 1433, 1561, 1526, 1090, 1979, 980, 929, 1961, 2002, 274, 1359, 1942, 424, 1532, 1279, 3127, 1277, 1323, 948, 665, 1570, 2132, 1293, 32944]"
43,44,"[678, 863, 892, 365, 1266, 332, 1254, 402, 1444, 287, 156, 783, 2073, 1048, 332, 109, 659, 1396, 87, 808, 898, 247, 252, 773, 1697, 1953, 106, 1196, 1585, 29489]"
44,45,"[1819, 862, 1450, 1600, 2388, 900, 2002, 2046, 1207, 2013, 1622, 1384, 681, 1203, 2080, 3219, 1836, 1391, 1323, 1492, 1694, 892, 1022, 979, 1173, 2174, 1183, 1056, 2451, 30818]"
45,46,"[372, 720, 1249, 25, 1790, 301, 681, 1944, 1149, 530, 273, 1341, 610, 1405, 693, 63, 518, 1512, 371, 1270, 961, 421, 38, 417, 374, 372, 23, 10, 678, 26161]"
46,47,"[2563, 968, 291, 1181, 1040, 1254, 603, 1639, 1146, 1032, 1819, 1576, 1778, 965, 812, 1338, 1347, 968, 1245, 1041, 1097, 2514, 1733, 777, 1978, 2021, 1507, 2542, 325, 23868]"
47,48,"[750, 282, 227, 1128, 501, 230, 292, 1190, 1423, 899, 503, 838, 36, 265, 961, 1483, 361, 531, 695, 944, 852, 311, 789, 486, 258, 1159, 496, 261, 846, 30510]"
48,49,"[601, 4206, 1798, 1517, 832, 1440, 899, 1129, 968, 1334, 953, 916, 778, 588, 1165, 1633, 1212, 1072, 719, 1127, 1158, 1265, 1093, 1180, 2630, 1151, 1210, 812, 809, 33302]"
49,50,"[1761, 1107, 633, 546, 2188, 1207, 1605, 588, 1660, 1583, 1648, 1643, 990, 941, 477, 1546, 2134, 433, 611, 1021, 575, 2419, 396, 1507, 215, 620, 1441, 3091, 1064, 32490]"
50,51,"[1038, 1185, 1123, 2277, 2262, 1740, 1096, 279, 717, 765, 1206, 779, 2574, 402, 1054, 1828, 1306, 399, 2079, 698, 753, 3673, 532, 338, 909, 837, 815, 724, 993, 26583]"
51,52,"[875, 935, 687, 268, 256, 1607, 1108, 987, 1109, 1034, 771, 1340, 1264, 959, 460, 708, 1217, 334, 756, 1266, 1131, 496, 805, 1419, 1558, 1257, 1199, 465, 1829, 25876]"
52,53,"[655, 1410, 2283, 1284, 80, 1087, 2438, 1263, 1756, 2010, 1605, 1215, 2165, 1428, 901, 1400, 1157, 1184, 761, 3368, 1946, 1395, 2589, 3590, 1423, 604, 1874, 722, 1478, 21645]"
53,54,"[822, 816, 4907, 1333, 593, 1521, 1323, 1849, 810, 933, 1701, 371, 1919, 2682, 1973, 1008, 663, 625, 394, 944, 3405, 1560, 403, 1131, 1495, 1150, 997, 1980, 619, 25004]"
54,55,"[395, 427, 700, 56, 465, 335, 599, 580, 582, 1142, 460, 819, 1825, 735, 1848, 560, 1423, 697, 406, 1957, 1948, 1834, 613, 1308, 873, 580, 77, 1349, 1431, 27012]"
55,56,"[808, 615, 357, 1010, 2190, 877, 825, 162, 1161, 941, 2100, 557, 1992, 290, 670, 712, 805, 668, 1793, 403, 721, 498, 969, 1291, 1641, 940, 901, 987, 639, 26570]"
56,57,"[838, 746, 1238, 1272, 206, 989, 817, 348, 970, 741, 1407, 657, 1670, 1640, 1003, 280, 401, 4131, 859, 2466, 649, 1058, 738, 1076, 1464, 3833, 918, 2003, 700, 32016]"
57,58,"[1012, 1423, 1017, 2006, 1062, 428, 814, 1508, 1070, 1089, 1562, 1667, 1489, 1139, 919, 499, 1301, 1161, 2159, 1385, 476, 434, 1800, 1794, 163, 821, 1228, 1670, 1776, 28812]"
58,59,"[1123, 732, 1311, 1510, 313, 1750, 2562, 997, 842, 942, 668, 899, 2291, 749, 1205, 229, 571, 910, 1479, 695, 2266, 1188, 1894, 769, 720, 777, 500, 814, 1506, 31639]"
59,60,"[1490, 746, 1541, 1026, 455, 1976, 1296, 287, 1570, 1002, 338, 1957, 1260, 1907, 995, 1249, 256, 1535, 829, 2757, 687, 1611, 1545, 1595, 1150, 994, 549, 201, 1964, 28708]"
60,61,"[989, 530, 488, 1344, 939, 898, 798, 1106, 543, 620, 671, 818, 818, 307, 797, 729, 131, 708, 340, 1532, 1268, 744, 643, 257, 693, 681, 1141, 1604, 1298, 28677]"
61,62,"[387, 1009, 1012, 964, 1122, 1136, 662, 495, 734, 814, 1302, 1100, 298, 1531, 145, 1279, 951, 402, 669, 1592, 198, 1305, 385, 367, 463, 484, 1391, 1372, 330, 30296]"
62,63,"[646, 1317, 886, 1483, 882, 885, 202, 563, 710, 46, 772, 1794, 1570, 494, 877, 897, 1384, 856, 1846, 880, 1006, 1588, 625, 1370, 150, 594, 2565, 645, 1693, 26509]"
63,64,"[1240, 685, 498, 1426, 240, 1553, 1085, 2250, 74, 490, 1119, 83, 787, 1379, 669, 1043, 236, 215, 1740, 2197, 1612, 504, 564, 1539, 107, 721, 1568, 1083, 872, 32571]"
64,65,"[762, 709, 1045, 1604, 105, 923, 1446, 788, 1044, 1017, 1616, 1273, 2546, 1103, 1405, 2107, 1775, 759, 939, 707, 75, 1488, 2026, 995, 558, 985, 1531, 802, 1034, 23917]"
