round,accuracy,adv_success
1,0.7792338709677419,0.0
2,0.7807459677419355,0.0
3,0.7817540322580645,0.0
4,0.780241935483871,0.0
5,0.7857862903225806,0.0
6,0.7867943548387096,0.0
7,0.7857862903225806,0.0
8,0.7847782258064516,0.0
9,0.7908266129032258,0.0
10,0.7908266129032258,0.0
11,0.7938508064516129,0.0
12,0.7948588709677419,0.0
13,0.7963709677419355,0.0
14,0.7963709677419355,0.0
15,0.7963709677419355,0.0
16,0.796875,0.0
17,0.795866935483871,0.0
18,0.7943548387096774,0.0
19,0.7933467741935484,0.0
20,0.7953629032258065,0.0
21,0.797883064516129,0.0
22,0.797883064516129,0.0
23,0.7993951612903226,0.0
24,0.8019153225806451,0.0
25,0.8024193548387096,0.0
26,0.8019153225806451,0.0
27,0.8019153225806451,0.0
28,0.8009072580645161,0.0
29,0.7993951612903226,0.0
30,0.7983870967741935,0.0
31,0.8009072580645161,0.0
32,0.7998991935483871,0.0
33,0.8004032258064516,0.0
34,0.7983870967741935,0.0
35,0.7983870967741935,0.0
36,0.7963709677419355,0.0
37,0.7943548387096774,0.0
38,0.7933467741935484,0.0
39,0.7948588709677419,0.0
40,0.7943548387096774,0.0
41,0.7948588709677419,0.0
42,0.7963709677419355,0.0
43,0.7948588709677419,0.0
44,0.7988911290322581,0.0
45,0.7963709677419355,0.0
46,0.7993951612903226,0.0
47,0.795866935483871,0.0
48,0.7973790322580645,0.0
49,0.7963709677419355,0.0
50,0.7988911290322581,0.0
51,0.7973790322580645,0.0
52,0.796875,0.0
53,0.795866935483871,0.0
54,0.7973790322580645,0.0
55,0.7963709677419355,0.0
56,0.7928427419354839,0.0
57,0.7933467741935484,0.0
58,0.7953629032258065,0.0
59,0.797883064516129,0.0
60,0.796875,0.0
61,0.7993951612903226,0.0
62,0.7973790322580645,0.0
63,0.7948588709677419,0.0
64,0.7973790322580645,0.0
65,0.7943548387096774,0.0
66,0.795866935483871,0.0
67,0.796875,0.0
68,0.796875,0.0
69,0.7973790322580645,0.0
70,0.7993951612903226,0.0
71,0.7983870967741935,0.0
72,0.7973790322580645,0.0
73,0.7963709677419355,0.0
74,0.7973790322580645,0.0
75,0.797883064516129,0.0
76,0.795866935483871,0.0
77,0.7963709677419355,0.0
78,0.7973790322580645,0.0
79,0.7993951612903226,0.0
80,0.7963709677419355,0.0
81,0.796875,0.0
82,0.7973790322580645,0.0
83,0.795866935483871,0.0
84,0.7983870967741935,0.0
85,0.796875,0.0
86,0.795866935483871,0.0
87,0.7988911290322581,0.0
88,0.797883064516129,0.0
89,0.8004032258064516,0.0
90,0.796875,0.0
91,0.7983870967741935,0.0
92,0.7998991935483871,0.0
93,0.7983870967741935,0.0
94,0.797883064516129,0.0
95,0.7988911290322581,0.0
96,0.797883064516129,0.0
97,0.7988911290322581,0.0
98,0.797883064516129,0.0
99,0.7973790322580645,0.0
100,0.796875,0.0
101,0.796875,0.0
102,0.7963709677419355,0.0
103,0.797883064516129,0.0
104,0.7993951612903226,0.0
105,0.7998991935483871,0.0
106,0.7963709677419355,0.0
107,0.7973790322580645,0.0
108,0.7963709677419355,0.0
109,0.7938508064516129,0.0
110,0.7943548387096774,0.0
111,0.795866935483871,0.0
112,0.7943548387096774,0.0
113,0.7953629032258065,0.0
114,0.7973790322580645,0.0
115,0.7983870967741935,0.0
116,0.7988911290322581,0.0
117,0.7998991935483871,0.0
118,0.797883064516129,0.0
119,0.795866935483871,0.0
120,0.796875,0.0
121,0.7948588709677419,0.0
122,0.7973790322580645,0.0
123,0.795866935483871,0.0
124,0.7993951612903226,0.0
125,0.797883064516129,0.0
126,0.8004032258064516,0.0
127,0.8009072580645161,0.0
128,0.7998991935483871,0.0
129,0.797883064516129,0.0
130,0.7988911290322581,0.0
131,0.7988911290322581,0.0
132,0.7973790322580645,0.0
133,0.7988911290322581,0.0
134,0.7983870967741935,0.0
135,0.795866935483871,0.0
136,0.797883064516129,0.0
137,0.7983870967741935,0.0
138,0.7983870967741935,0.0
139,0.8004032258064516,0.0
140,0.8004032258064516,0.0
141,0.8009072580645161,0.0
142,0.8019153225806451,0.0
143,0.8029233870967742,0.0
144,0.8029233870967742,0.0
145,0.8024193548387096,0.0
146,0.8014112903225806,0.0
147,0.8004032258064516,0.0
148,0.8039314516129032,0.0
149,0.8044354838709677,0.0
150,0.8044354838709677,0.0
151,0.8054435483870968,0.0
152,0.8034274193548387,0.0
153,0.8029233870967742,0.0
154,0.7998991935483871,0.0
155,0.7993951612903226,0.0
156,0.8009072580645161,0.0
157,0.8004032258064516,0.0
158,0.8004032258064516,0.0
159,0.8004032258064516,0.0
160,0.8009072580645161,0.0
